"Distancia(km)","Agaete","Agüimes","La Aldea de San Nicolás","Artenara","Arucas","Firgas","Gáldar","Ingenio","Mogán","Moya","Las Palmas de Gran Canaria","San Bartolomé de Tirajana","Santa Brígida","Santa Lucía de Tirajana","Guía","Tejeda","Telde","Teror","Valleseco","Valsequillo","Vega de San Mateo"
"Agaete","","64","30","34","28","31","9","62","53","25","33","61","43","85","11","42","50","37","30","60","51"
"Agüimes","65","","62","47","40","46","57","3","57","57","34","28","34","23","56","37","21","46","37","34","42"
"La Aldea de San Nicolás","30","62","","29","57","61","38","60","25","54","62","39","72","45","40","35","79","56","60","89","47"
"Artenara","34","47","29","","33","23","33","45","54","27","51","40","30","46","30","8","49","27","37","40","28"
"Arucas","27","40","56","32","","7","19","38","89","18","14","67","19","61","17","30","26","11","6","36","27"
"Firgas","32","46","61","23","8","","23","44","95","23","20","45","25","67","22","27","32","12","12","42","32"
"Gáldar","9","57","38","33","20","24","","54","105","17","25","58","35","78","3","39","42","29","23","52","43"
"Ingenio","63","3","60","45","37","44","54","","60","54","32","31","32","25","53","35","18","44","34","31","39"
"Mogán","54","57","25","54","89","95","106","61","","105","83","53","83","66","104","39","69","95","85","82","90"
"Moya","25","56","54","27","19","23","17","53","104","","24","52","34","77","16","34","41","28","22","51","42"
"Las Palmas de Gran Canaria","33","34","62","45","13","20","25","32","83","25","","61","18","55","24","41","20","22","13","30","26"
"San Bartolomé de Tirajana","61","28","39","39","68","44","58","31","53","52","62","","38","6","55","24","48","43","64","61","31"
"Santa Brígida","44","34","73","30","19","25","36","31","82","35","19","39","","55","34","23","19","14","15","23","8"
"Santa Lucía de Tirajana","87","23","45","45","62","68","79","25","65","78","56","6","56","","78","30","42","68","59","56","63"
"Guía","11","55","40","30","18","22","3","52","103","14","23","55","34","76","","37","41","28","21","50","41"
"Tejeda","42","37","34","8","31","26","40","35","38","34","37","24","24","30","37","","39","25","30","31","23"
"Telde","51","20","80","49","26","32","43","17","68","42","20","46","20","41","42","39","","32","22","15","27"
"Teror","37","45","56","27","11","12","29","43","94","28","21","43","13","66","28","25","31","","14","35","12"
"Valleseco","31","37","60","37","6","12","23","34","85","22","13","63","15","58","21","30","22","14","","32","23"
"Valsequillo","61","33","55","40","39","45","53","30","81","53","30","60","22","54","52","30","14","35","35","","13"
"Vega de San Mateo","51","41","47","27","26","32","43","38","89","33","26","31","8","62","42","22","26","13","22","14",""
